token|nan|ts|endTs|punctuation|case|tags|wer_tags
regular|nan||||LC|[]|[]
standards|nan|||.|LC|[]|[]
Market|nan||||UC|[]|[]
demand|nan||||LC|[]|[]
behaved|nan||||LC|[]|[]
normally|nan||||LC|[]|[]
until|nan||||LC|[]|[]
recently|nan||||LC|[]|[]
when|nan||||LC|[]|[]
we|nan||||LC|[]|[]
started|nan||||LC|[]|[]
to|nan||||LC|[]|[]
experience|nan||||LC|[]|[]
a|nan||||LC|[]|[]
slow|nan||||LC|[]|[]
down|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
region|nan|||.|LC|[]|[]
So|nan||||UC|[]|[]
segment|nan||||LC|[]|[]
mainly|nan||||LC|[]|[]
are|nan||||LC|[]|[]
related|nan||||LC|[]|[]
to|nan||||LC|[]|[]
instrument|nan||||LC|[]|[]
dispatches|nan||||LC|[]|[]
from|nan||||LC|[]|[]
our|nan||||LC|[]|[]
<unk>|nan||||LC|[]|[]
work|nan||||LC|[]|[]
plant|nan|||.|LC|[]|[]
On|nan||||UC|[]|[]
the|nan||||LC|[]|[]
Caribbean|nan||||UC|[]|['120']
and|nan||||LC|[]|[]
Central|nan||||UC|[]|['121']
America|nan|||,|UC|[]|['121']
we|nan||||LC|['108:CONTRACTION']|['108']
are|nan||||LC|['108:CONTRACTION']|['108']
dispatching|nan||||LC|[]|[]
cement|nan||||LC|[]|[]
from|nan||||LC|[]|[]
all|nan||||LC|[]|[]
of|nan||||LC|[]|[]
our|nan||||LC|[]|[]
facilities|nan|||,|LC|[]|[]
except|nan||||LC|[]|[]
from|nan||||LC|[]|[]
Panama|nan|||,|UC|[]|['122']
that|nan||||LC|[]|[]
is|nan||||LC|[]|[]
still|nan||||LC|[]|[]
closed|nan||||LC|[]|[]
by|nan||||LC|[]|[]
governmental|nan||||LC|[]|[]
instructions|nan|||.|LC|[]|[]
In|nan||||LC|[]|[]
most|nan||||LC|[]|[]
of|nan||||LC|[]|[]
these|nan||||LC|[]|[]
countries|nan||||LC|[]|[]
through|nan||||LC|[]|[]
the|nan||||LC|[]|['123']
month|nan||||LC|[]|['123']
continues|nan||||LC|[]|[]
to|nan||||LC|[]|[]
be|nan||||LC|[]|[]
affected|nan||||LC|[]|[]
by|nan||||LC|[]|[]
the|nan||||LC|[]|[]
COVID-19|nan||||CA|['65:ALPHANUMERIC']|['65']
crisis|nan|||,|LC|[]|[]
with|nan||||LC|[]|[]
the|nan||||LC|[]|[]
exception|nan||||LC|[]|[]
of|nan||||LC|[]|[]
Haiti|nan|||,|UC|[]|['124']
which|nan||||LC|[]|[]
exceeded|nan||||LC|[]|[]
a|nan||||LC|[]|[]
satisfactory|nan||||LC|[]|[]
market|nan||||LC|[]|[]
performance|nan|||.|LC|[]|[]
The|nan||||UC|[]|[]
Colombian|nan||||UC|[]|['125']
quarantine|nan||||LC|[]|[]
was|nan||||LC|[]|[]
lifted|nan||||LC|[]|[]
on|nan||||LC|[]|[]
April|nan||||UC|[]|['126']
13th|nan||||LC|['62:ORDINAL']|['126', '62', '66']
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
infrastructure|nan|||,|LC|[]|[]
on|nan||||LC|[]|[]
April|nan||||UC|[]|['127']
the|nan||||LC|[]|['127']
27th|nan||||LC|['63:ORDINAL']|['127', '63', '67']
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
residential|nan||||LC|[]|[]
and|nan||||LC|[]|[]
commercial|nan||||LC|[]|[]
formal|nan||||LC|[]|[]
sector|nan|||,|LC|[]|[]
allowing|nan||||LC|[]|[]
us|nan||||LC|[]|[]
to|nan||||LC|[]|[]
restart|nan||||LC|[]|[]
our|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
ever|nan||||LC|[]|[]
since|nan|||.|LC|[]|[]
At|nan||||UC|[]|[]
the|nan||||LC|[]|['128']
end|nan||||LC|[]|['128']
of|nan||||LC|[]|['128']
April|nan||||UC|[]|['128']
the|nan||||LC|[]|[]
retail|nan||||LC|[]|[]
segment|nan||||LC|[]|[]
had|nan||||LC|[]|[]
experienced|nan||||LC|[]|[]
a|nan||||LC|[]|[]
record|nan||||LC|[]|[]
of|nan||||LC|[]|[]
50%|nan||||LC|['43:PERCENT']|['43']
on|nan||||LC|[]|[]
its|nan||||LC|[]|[]
daily|nan||||LC|[]|['130']
volumes|nan|||.|LC|[]|[]
The|nan||||UC|[]|[]
industrial|nan||||LC|[]|[]
segment|nan||||LC|[]|[]
on|nan||||LC|[]|[]
the|nan||||LC|[]|[]
other|nan||||LC|[]|[]
hand|nan||||LC|[]|[]
started|nan||||LC|[]|[]
much|nan||||LC|[]|[]
slower|nan|||,|LC|[]|[]
even|nan||||LC|[]|[]
the|nan||||LC|[]|[]
highest|nan||||LC|[]|[]
complexity|nan||||LC|[]|[]
of|nan||||LC|[]|[]
your|nan||||LC|[]|[]
starting|nan||||LC|[]|[]
its|nan||||LC|[]|[]
operations|nan|||.|LC|[]|[]
In|nan||||UC|[]|[]
light|nan||||LC|[]|[]
of|nan||||LC|[]|[]
this|nan||||LC|[]|[]
challenging|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
restructured|nan||||LC|[]|[]
and|nan||||LC|[]|[]
launched|nan||||LC|[]|[]
Preset|nan|||,|UC|[]|[]
a|nan||||LC|[]|[]
comprehensive|nan||||LC|[]|[]
action|nan||||LC|[]|[]
plan|nan||||LC|[]|[]
to|nan||||LC|[]|[]
operate|nan||||LC|[]|[]
the|nan||||LC|[]|[]
company|nan||||LC|[]|[]
during|nan||||LC|[]|[]
the|nan||||LC|[]|['131']
next|nan||||LC|[]|['131']
month|nan|||.|LC|[]|['131']
Presets|nan|||,|UC|[]|[]
which|nan||||LC|[]|[]
stands|nan||||LC|[]|[]
for|nan||||LC|[]|[]
restart|nan||||LC|[]|[]
safe|nan||||LC|[]|[]
and|nan||||LC|[]|[]
healthy|nan||||LC|[]|[]
to|nan||||LC|[]|[]
boost|nan||||LC|[]|[]
the|nan||||LC|[]|[]
economy|nan|||,|LC|[]|[]
bring|nan||||LC|[]|[]
hope|nan||||LC|[]|[]
and|nan||||LC|[]|[]
transform|nan||||LC|[]|[]
lives|nan|||,|LC|[]|[]
is|nan||||LC|[]|[]
a|nan||||LC|[]|[]
program|nan||||LC|[]|[]
that|nan||||LC|[]|[]
represent|nan||||LC|[]|[]
the|nan||||LC|[]|[]
company|nan||||LC|[]|[]
to|nan||||LC|[]|[]
face|nan||||LC|[]|[]
the|nan||||LC|[]|[]
pandemic|nan||||LC|[]|[]
and|nan||||LC|[]|[]
the|nan||||LC|[]|[]
later|nan||||LC|[]|[]
gradual|nan||||LC|[]|[]
market|nan||||LC|[]|[]
recovery|nan|||.|LC|[]|[]
Preset|nan||||LC|[]|[]
tackles|nan||||LC|[]|[]
three|nan||||LC|[]|['132']
dimensions|nan|||,|LC|[]|[]
health|nan||||LC|[]|[]
and|nan||||LC|[]|[]
safety|nan|||,|LC|[]|[]
liquidity|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
operational|nan||||LC|[]|[]
excellence|nan|||.|LC|[]|[]
The|nan||||UC|[]|[]
health|nan||||LC|[]|[]
and|nan||||LC|[]|[]
safety|nan||||LC|[]|[]
dimension|nan||||LC|[]|[]
was|nan||||LC|[]|[]
built|nan||||LC|[]|[]
on|nan||||LC|[]|[]
our|nan||||LC|[]|[]
I|nan||||CA|[]|[]
Promise|nan||||UC|[]|[]
Program|nan||||UC|[]|[]
to|nan||||LC|[]|[]
design|nan||||LC|[]|[]
and|nan||||LC|[]|[]
put|nan||||LC|[]|[]
in|nan||||LC|[]|[]
place|nan||||LC|[]|[]
all|nan||||LC|[]|[]
the|nan||||LC|[]|[]
health|nan||||LC|[]|[]
and|nan||||LC|[]|[]
safety|nan||||LC|[]|[]
protocols|nan||||LC|[]|[]
that|nan||||LC|[]|[]
are|nan||||LC|[]|[]
being|nan||||LC|[]|[]
implemented|nan||||LC|[]|[]
to|nan||||LC|[]|[]
protect|nan||||LC|[]|[]
our|nan||||LC|[]|[]
employees|nan|||,|LC|[]|[]
clients|nan|||,|LC|[]|[]
surrounding|nan||||LC|[]|[]
communities|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
suppliers|nan|||,|LC|[]|[]
to|nan||||LC|[]|[]
be|nan||||LC|[]|[]
able|nan||||LC|[]|[]
to|nan||||LC|[]|[]
operate|nan||||LC|[]|[]
under|nan||||LC|[]|[]
COVID-19|nan||||CA|['68:ALPHANUMERIC']|['68']
outbreaks|nan|||.|LC|[]|[]
We|nan||||UC|['109:CONTRACTION']|['109']
are|nan||||LC|['109:CONTRACTION']|['109']
ready|nan||||LC|[]|[]
to|nan||||LC|[]|[]
safely|nan||||LC|[]|[]
restart|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
in|nan||||LC|[]|[]
those|nan||||LC|[]|[]
facilities|nan||||LC|[]|[]
that|nan||||LC|[]|[]
are|nan||||LC|[]|[]
still|nan||||LC|[]|[]
closed|nan|||,|LC|[]|[]
or|nan||||LC|[]|[]
that|nan||||LC|[]|[]
are|nan||||LC|[]|[]
gradually|nan||||LC|[]|[]
going|nan||||LC|[]|[]
back|nan||||LC|[]|[]
to|nan||||LC|[]|[]
regular|nan||||LC|[]|[]
production|nan||||LC|[]|[]
standards|nan|||,|LC|[]|[]
while|nan||||LC|[]|[]
maintaining|nan||||LC|[]|[]
and|nan||||LC|[]|[]
improving|nan||||LC|[]|[]
the|nan||||LC|[]|[]
current|nan||||LC|[]|[]
safety|nan||||LC|[]|[]
protocols|nan||||LC|[]|[]
in|nan||||LC|[]|[]
countries|nan||||LC|[]|[]
such|nan||||LC|[]|[]
as|nan||||LC|[]|[]
the|nan||||LC|[]|[]
U.S|nan||||LC|['1237:FALLBACK']|['133']
and|nan||||LC|[]|[]
Haiti|nan|||,|UC|[]|['134']
where|nan||||LC|[]|[]
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
not|nan||||LC|[]|[]
experienced|nan||||LC|[]|[]
any|nan||||LC|[]|[]
health|nan||||LC|[]|[]
in|nan||||LC|[]|[]
production|nan|||.|LC|[]|[]
The|nan||||LC|[]|[]
liquidity|nan||||LC|[]|[]
I|nan||||CA|[]|[]
mentioned|nan||||LC|[]|[]
includes|nan|||,|LC|[]|[]
cash|nan||||LC|[]|[]
preservation|nan||||LC|[]|[]
and|nan||||LC|[]|[]
the|nan||||LC|[]|[]
construction|nan||||LC|[]|[]
of|nan||||LC|[]|[]
a|nan||||LC|[]|[]
new|nan||||LC|[]|[]
operational|nan||||LC|[]|[]
model|nan|||,|LC|[]|[]
built|nan||||LC|[]|[]
with|nan||||LC|[]|[]
a|nan||||LC|[]|[]
zero-based|nan||||LC|[]|[]
budgeting|nan||||LC|[]|[]
methodology|nan||||LC|[]|[]
for|nan||||LC|[]|[]
the|nan||||LC|[]|[]
rest|nan||||LC|[]|[]
of|nan||||LC|[]|[]
2020|nan|||.|CA|['56:YEAR']|['136', '56', '80']
To|nan||||UC|[]|[]
improve|nan||||LC|[]|[]
our|nan||||LC|[]|[]
cash|nan||||LC|[]|[]
position|nan|||,|LC|[]|[]
Argos|nan||||UC|[]|['2011']
is|nan||||LC|[]|[]
based|nan||||LC|[]|[]
$160|nan||||CA|['37:MONEY']|['37']
million|nan||||LC|[]|['37']
in|nan||||LC|[]|[]
short-term|nan||||LC|[]|[]
trade|nan||||LC|[]|[]
lines|nan||||LC|[]|[]
and|nan||||LC|[]|[]
consolidated|nan||||LC|[]|[]
all|nan||||LC|[]|[]
payments|nan||||LC|[]|[]
related|nan||||LC|[]|[]
decisions|nan||||LC|[]|[]
from|nan||||LC|[]|[]
its|nan||||LC|[]|[]
local|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
to|nan||||LC|[]|[]
have|nan||||LC|[]|[]
a|nan||||LC|[]|[]
more|nan||||LC|[]|[]
efficient|nan||||LC|[]|[]
use|nan||||LC|[]|[]
of|nan||||LC|[]|[]
liquidity|nan|||.|LC|[]|[]
As|nan||||UC|[]|[]
a|nan||||LC|[]|[]
result|nan||||LC|[]|[]
of|nan||||LC|[]|[]
these|nan||||LC|[]|[]
measures|nan|||,|LC|[]|[]
the|nan||||LC|[]|[]
consolidated|nan||||LC|[]|[]
cash|nan||||LC|[]|[]
position|nan||||LC|[]|[]
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
company|nan||||LC|[]|[]
stood|nan||||LC|[]|[]
up|nan||||LC|[]|[]
at|nan||||LC|[]|[]
approximately|nan||||LC|[]|['139']
615|nan||||CA|['82:CARDINAL']|['139', '82']
billion|nan||||LC|[]|['139']
Pesos|nan||||UC|[]|['139']
as|nan||||LC|[]|[]
of|nan||||LC|[]|[]
April|nan||||UC|[]|['141']
the|nan||||LC|[]|['141']
30th|nan|||.|LC|['64:ORDINAL']|['141', '64', '69']
An|nan||||UC|[]|[]
amount|nan||||LC|[]|[]
significantly|nan||||LC|[]|[]
higher|nan||||LC|[]|[]
than|nan||||LC|[]|[]
the|nan||||LC|[]|[]
amount|nan||||LC|[]|[]
we|nan||||LC|[]|[]
held|nan||||LC|[]|[]
at|nan||||LC|[]|[]
the|nan||||LC|[]|['142']
start|nan||||LC|[]|['142']
of|nan||||LC|[]|['142']
the|nan||||LC|[]|['142']
year|nan|||.|LC|[]|['142']
Our|nan||||UC|[]|[]
neutral|nan||||LC|[]|[]
base|nan||||LC|[]|[]
budget|nan||||LC|[]|[]
captures|nan||||LC|[]|[]
efficiencies|nan||||LC|[]|[]
that|nan||||LC|[]|[]
amount|nan||||LC|[]|[]
between|nan||||LC|[]|['143']
75|nan||||CA|['83:CARDINAL']|['143', '83']
to|nan||||LC|[]|['143']
$90|nan||||CA|['38:MONEY']|['38']
million|nan||||LC|[]|['38']
on|nan||||LC|[]|[]
2020|nan||||CA|['57:YEAR']|['57', '85']
of|nan||||LC|[]|[]
which|nan||||LC|[]|[]
84%|nan||||LC|['44:PERCENT']|['44']
will|nan||||LC|[]|[]
be|nan||||LC|[]|[]
obtained|nan||||LC|[]|[]
from|nan||||LC|[]|[]
fixed|nan||||LC|[]|[]
costs|nan||||LC|[]|[]
and|nan||||LC|[]|[]
16%|nan||||LC|['45:PERCENT']|['45']
from|nan||||LC|[]|[]
the|nan||||LC|[]|[]
GMA|nan|||.|LC|[]|['2012']
On|nan||||LC|[]|[]
top|nan||||LC|[]|[]
of|nan||||LC|[]|[]
that|nan|||,|LC|[]|[]
the|nan||||LC|[]|[]
company|nan||||LC|[]|[]
has|nan||||LC|[]|[]
decided|nan||||LC|[]|[]
to|nan||||LC|[]|[]
reduce|nan||||LC|[]|[]
$40|nan||||CA|['39:MONEY']|['39']
million|nan||||LC|[]|['147']
in|nan||||LC|[]|[]
CapEx|nan||||MC|[]|[]
from|nan||||LC|[]|[]
the|nan||||LC|[]|['149']
quarter|nan||||LC|[]|['149']
of|nan||||LC|[]|['149']
the|nan||||LC|[]|['149']
year|nan||||LC|[]|['149']
on|nan||||LC|[]|[]
projects|nan||||LC|[]|[]
that|nan||||LC|[]|[]
are|nan||||LC|[]|[]
not|nan||||LC|[]|[]
necessarily|nan||||LC|[]|[]
to|nan||||LC|[]|[]
operate|nan||||LC|[]|[]
under|nan||||LC|[]|[]
the|nan||||LC|[]|[]
existing|nan||||LC|[]|[]
market|nan||||LC|[]|[]
conditions|nan|||.|LC|[]|[]
The|nan||||UC|[]|[]
initiatives|nan||||LC|[]|[]
related|nan||||LC|[]|[]
to|nan||||LC|[]|[]
operational|nan||||LC|[]|[]
excellence|nan||||LC|[]|[]
and|nan||||LC|[]|[]
ensuring|nan||||LC|[]|[]
the|nan||||LC|[]|[]
optimum|nan||||LC|[]|[]
mix|nan||||LC|[]|[]
of|nan||||LC|[]|[]
assets|nan|||,|LC|[]|[]
products|nan|||,|LC|[]|[]
services|nan|||,|LC|[]|[]
manpower|nan||||LC|[]|[]
and|nan||||LC|[]|[]
logistics|nan||||LC|[]|[]
to|nan||||LC|[]|[]
redeploy|nan||||LC|[]|[]
according|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
evolution|nan||||LC|[]|[]
of|nan||||LC|[]|[]
demand|nan||||LC|[]|[]
in|nan||||LC|[]|[]
our|nan||||LC|[]|[]
different|nan||||LC|[]|[]
markets|nan|||.|LC|[]|[]
In|nan||||UC|[]|[]
this|nan||||LC|[]|[]
context|nan|||,|LC|[]|[]
we|nan||||LC|[]|[]
expect|nan||||LC|[]|[]
a|nan||||LC|[]|[]
further|nan||||LC|[]|[]
migration|nan||||LC|[]|[]
towards|nan||||LC|[]|[]
technological|nan||||LC|[]|[]
tools|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
future|nan|||,|LC|[]|[]
such|nan||||LC|[]|[]
as|nan||||LC|[]|[]
Argos|nan||||UC|[]|['2014']
ONE|nan|||,|CA|['72:ABBREVIATION']|['2014']
that|nan||||LC|[]|[]
enables|nan||||LC|[]|[]
our|nan||||LC|[]|[]
clients|nan||||LC|[]|[]
book|nan||||LC|[]|[]
contractors|nan||||LC|[]|[]
and|nan||||LC|[]|[]
ready|nan||||LC|[]|[]
mix|nan||||LC|[]|[]
dispatches|nan||||LC|[]|[]
through|nan||||LC|[]|[]
a|nan||||LC|[]|[]
digital|nan||||LC|[]|[]
